clean_text,category
can you understand this sorry  you are not great like narasimha raoji abvajpayee you are illiterate mean chandrababu sir may bail pity you modi that mean you saved chandra babu sir committing mistake worst speech mrmodi ,-1.0
why are modi not talking about demonetization wasnt supposed biggest achievement ,0.0
basically enjoy seeing your fear towards modi the way why old person was compelled cry open placedid cry help modi win the election,1.0
nyay rahul says got the idea from modis spurious 15lakhs promise hope this one too does not that way this workable and doable idea must done the next government whoever forms its the need the times ,0.0
instead modi and scientist would have tell the nation about the success with the names scientist behind than think should bigger honor them than doing his address and giving todays work media section,-1.0
"but you think has out maneouvred modi
wait for the response",0.0
used wrong word blonde modi not even close blonde the way blonde not bad word best word for modi “pimp”,1.0
another feather the cap modi govt imf terms india the fastest growing largest economy ,0.0
pls stop campaining others shoulders modi why desporate good things good work doesnt need any advertise show off its legacy will continue rule pls stop nonsense simple,1.0
one side working hard make superpower and other side working hard pull down ultimately they pulling india down people must think twice before casting their vote are the with nation with chor ,-1.0
narendra modi speech meerut public meeting uttar pradesh inews via narendra modi speech meerut public meeting uttar pradesh inews,0.0
chachaji nobody against drdo people are against modi taking credit for national television please understand the difference,0.0
then why modi waited years give permission and did weeks before election,0.0
not only opposition whole nation was concerned about officer abhinandans return aur kitne din iss issue votes bheek mangoge opposition was more concerned about abhinandans return than iafs valour narendra modi elections news ,1.0
uri accidental modi the film modi the series tashkent files can now rename propogandawood ,0.0
"ा ी्िा 
kudos modi and our proud team scientists behind the great success mission shakti ",1.0
teri band baj gayi congress takes credit all indian institutions theres problem now the credit going bjp muslims have problem modi riyo hai bhayo teri jalti hai jale,0.0
usual lying ’ the best bet for isi’ relevance and armsdealer prosperity ,1.0
sustained hindu nationalist leader even heshe happens from rss stable should not influenced harebrained ideas rss which heavily infiltrated yahoodi think tanksmodi first shade bhagwa with succession planning more prominent bhagwa,1.0
rajendra balaji stating modi stunt master but might not know these guys are always comedians and jokers ,0.0
what wrong modis picture the boarding pass after all india,-1.0
mam great fan modi and ubut say chaukidar then take payment equivalent normal chaukidar,1.0
nirav modi threatened kill key witness prosecutor court via ,0.0
personally congratulate you for standing behind modiji accomplishing many programmes are there his shadow all times and your tireless efforts are making modi work faster and easier accomplish salute and modiji created great strength behind him ,1.0
recycle modi again via peddling tshirts asked for but got chaiwala ganga beta 2ab gujrat laal chowkidar godse missed the ,0.0
failure modi introduce ujwalla scheme after yrs misrule nehru dynasty what speaks papu,-1.0
khan redirected blame for the deadly attack what called modi’ “antimuslim” government and its heavyhanded policies indianadministered kashmir ,-1.0
alas modi governments priority would have enhance its cabability target and eliminate poverty from india where millions people are still living below the poverty line,-1.0
with chestthumping speech asat test narendra modi has shown nervous the wire ,0.0
sir but nehru invented tar how can modi can take credit,0.0
dumbo bimbooo could understand basic english these tweets modi asking raise awareness about participating voting isnt asking celebrities vote for him  only common sense was common,-1.0
let’ see your mother not with modi then she become anti indian mature,1.0
congratulation our sri narender modi and all those scientists associated for mission shakti ,0.0
arent all making serious error writing sentence showing photo with shri narendra modi and low unemployable idiot together,-1.0
modi also loves pakistanis after became paid surprise visit pakistan and gifted nawaz sharifs mother saari weeks after pulwama sent love letter pakistan send him also pak ,1.0
very unethical comments beboth prime minister modi and smt lata mangeshkar have billion people fans what yours they both have been deployed god serve humanitypolitics different indias represents 130 crore peoplee chorcalls other chor,1.0
"thank you madam for the beautiful song and special thanks for the way you tribute our jawans humble tribute our jawans and entire nation 
narendra modi once more✌✌✌",1.0
close fight basically its battle between jitin and modi rekha verma factor,0.0
all fake you have modi fake name fake address fake wallpaper with illiterate introduction,-1.0
who who who lets the dog out  ,0.0
india too criminalized and communalized for that modi will win hook crook,1.0
ten questions the modi government that one from the opposition and media asking this thread ,0.0
should commercial organisation become boot licker political party precisely does this has become tool propagate modi has started namocontent channel excusively dedicated modi when ask where tiranga channel they would make excuses,1.0
"when jawans life risk cannot stay uninvolved prime minister narendra modi tune watch live here
",1.0
was till now huge anti incumbency bagalkot constituency but people are nationalists the end they will with hindutva and modi now looks tight fight but the end safe for ,1.0
423 all chowkidar are advisef work hard achieve 423 seats for modi this election and make historyevery chowkidar had target convince atleast people vote formodi ,-1.0
vibrant professional and youngsters build india strong wondering streets with out any job and income under modi rule,1.0
these media houses can any extent demean mrmodi for his forthrightness and his works development mission modethey are happy settling scores with him the cost the development the country,1.0
the living british emperor grand sir the god war sri krsna and grand mother satyabhama queen the world incorporation east india company now arrest him chaiwala modi and rbi and sbi loot royal family treasures one mile square city london wwi mahabharat ,1.0
just yesterday the hypocritic congress allies said the scientists have just done their job and modi has nothing with today when dept doing its job modi being blamed ,0.0
mission shakti successful india stands tall space power narendra modi ,1.0
opinion needed mgb led two women best was mayawati and dimple yadav still think priyanka gandhi will bring her aura capture the remnant spotlight the battlefield promises for the next decade modi unfortunately carries baggage jhola all eyes mgb,1.0
alert delhi mumbai and goa behalf narendra modi informati via ,0.0
narendra modi the great pryministar india congratulations ,1.0
"this man handpicked modi
modi saw own shadow him ",1.0
"course even army should questioned when they use human shields not asking questions has led deaths jawans see this and realise why modi govt wants question
",1.0
"what shame this our prime ministeraccusing the ppl india with regards expects forget about the life rather talk praise modi for the shot down
slow claps modi  and still expect get fooled voting for ",-1.0
perfectly explained and its dynastic member theorythis video much more than proof for not voting favor money making party ,1.0
modis bjp backs acquittal hindu hardliners samjhauta express bombing case ,0.0
1221pm modi address india watch ,0.0
now its very interesting see whether deshbhakt winning modi bhakt winning this the correct time show patriotism and respect for soldier,1.0
but what was the reason for that responsible conscious decision that day govt not test waited for modi test and then cry about election politics,1.0
this was expected anyways there any institution that can act against modi ,-1.0
sir have noticed this late always anti modi this abp group publication mouthpiece congress,-1.0
modi will pariticipate election meeting coimbatore april along with dmdk leader vijayakant and other coaltion party leaders ,-1.0
thats vote for modi save the country from mandbudhhi ,0.0
become narendra modi ,0.0
why did modi have violate model code mamata banerjee recent updates ,0.0
modi you dont any program support the people then his sticker babu not meaningless,1.0
because modi knows situation ground all time worst,-1.0
"now the lying machine will fool the minorities and sister will visit the temple
voting for congress and pro pakistan opposition will make pakistan happy think about country’ security which only modi can make strong",1.0
modis demonetisation was the biggest scam independent india bail out top corporate houses ,1.0
"hello one correction please
lalit modi marwari from rajasthan descendant rai bahadur gujar mal modi founder modi group industries modinagar which just about some kms from delhi please don’ tell that you are naive that you didn’ know",-1.0
the scheme hard understand for modi dumb bhakts like you who will stoop any lows just lick their masters know how much modi has spent his marketing the last years have the balls tweet the data ,-1.0
now even the election commission has dismissed the complaint narendra modi about violating poll conduct rest the resident non indians can and take hike,-1.0
first need dispose the debris the congress who have laid india the ruins but not worry 2024 the debris would have been cleared bymodiswaste mangement project just like namami ganga ,1.0
agree are democracy but dont you think current political scenario its binary between modi and gandhi doesnt matter what want these are the only options available the table its like mahabharata where there 3rd front,1.0
india shoots down low orbit satellite mistakemistake was realized only now after modis speechit self goal for bjp,-1.0
feku talking about fake promises oppn  modi warns against fake promises made opposition parties ,-1.0
thats why isis former head said leaked video that prefers modi ,0.0
report card delivery some remain paper out over 500 promises 2014 manifesto clipping the new indian expresschennai ,1.0
where modi this picture commission taken congress leaders gang members common sense,-1.0
"modi hai mumkin hai
thank you drdo
thank you ",0.0
arnab definitely soft modi,1.0
bhai tab toh mujhe narendra modi bhi dikkat hai man hes got balls discuss his degree marital status even hiding and lying always,0.0
congratulations scientists who executed the task congratulations modi have taken the big decision and having backed unlike upa time without latter former would never materialise let give credit where ever whoever due,-1.0
hello sambitswaraj where the lpg cylinder and stove provided under ujjwala didn’ modi saheb’ “free scheme” reach puri yet couldn’ the family afford refill the cylinder ,1.0
dear modi ’ heartly requesting you please give the speech try telugu language both telugu state,0.0
critics have said the film due for release april blatant propaganda and attempt woo voters before polls open six days later indias almost sixweek election ,-1.0
yarappana mane inda tartiramma duddu tax payers should suffer for your insane promises and make people selfabled and not disabled and they say modi makes false promises this the baap foolish promises,-1.0
"
control governance may back fragile one economy the world just like amethy further more there agenda for development main aim defeating modi save their ill gotten money whole opposition were blaming nda ",1.0
election duty for government schools they are paid from government but private schools teachers have suffer ,0.0
modi has nothing say for his last years hence trying new things,1.0
modi can grave injustices can uphold social justice the form ‘nyay’ – meaning space for every class community for every voice the congress will deposit 72000 directly into the bank accounts the poorest india ,1.0
and course didnt ask who cares about picture adelsons and gambling bill seriouslydo they even know about her speech also failed ask about iranian deal anywayshe said enough israel fail leaders should figure out whose occupation modi fail,-1.0
dont even try the best proposition the liberal gang will come with that modi loses solely responsible for destroying secularism from the oppn benches bordering paranoia swinging from the sublime the ridiculous thats what will happen,1.0
author has 22point reply modi’ ‘what did deserve this’ question ,0.0
everything improved under modis ruleexcept rcbs performance  — feeling goofy,1.0
“our aim maintain peace over war mongering the space programme’ aim peace india’ economic and technological progress ,1.0
candidate says “ you are with modi only then you are with india otherwise you are anti india” against modi didn’ anything punish the corrupt instead punishing balckmoney hoardershe punished common man demonetization anti india,-1.0
modi just mocking criticising everyone else now rahul has shown what healthy criticism and politics with objectives ,1.0
"according study indoor pollution india contributes air pollution
india targeting this indoor air pollution through and has seen good success via ",1.0
are moorkhu shd read properly typical blind bhaktegpetrol prices increased only5 rswhy they dont know thatcrude oil prices halved modis timewhy didnt allow the been itambani ambani amabni modi baaaaaap,-1.0
tamil nadu fishermen who venture into sea for fishing were safe from sri lankan forces during the modi rule muralidhar rao ,1.0
also the way retweets been done seemed very weird modi bhakt else wud hav used chowkidar ,-1.0
can literally create dent the electoral prospects modi coming lok sabha elections true impact this historic judgement indian political history will known may 2019 ,1.0
you turn babu has joined anaother papu babu raga and all these jokers are come together fight modi with only one agenda stop modi which almost next impossible,-1.0
"miss why pakistan army not allowing journalists enter the jem camp your credibility suspect you hate modi and want balakot strikes failure trusting indian journalists big problem today listen italian journalist
",-1.0
modi sakar failed 2cr jobs per year ,-1.0
"standing with bjp modimodimodi
indira gandhi changed the constitution emergency remember",0.0
want modi 100000,0.0
1minute ’ stands tall but emerging key challenger ,0.0
dont dwell the past forefathers remember mentor godse what did the man modis money hypocrite see the future india rahul not anil ambani hahaha,-1.0
this guy vowed run naked modi won 2014 from varanasi tweet deleted now ,0.0
well done drdo well done ,0.0
how modi supported wrote chowkidar before their name why not congress supporters should write lootere ,0.0
where and department let modi jaitleyravishankar prasad speak this increase,0.0
the supporter gujarat riot wala modi not communal look whos talking,0.0
who took from granted modi took india for granted and bid rate the voters today you not mention the promises made 2014 even corrupt better ,0.0
"with the borders secured from pakistan myanmar modi has rattled terrorists and left deep scar
this why ",0.0
have you met modi,0.0
educated citizen its duty informed this modi willpower cacophony coming from educated person sad,-1.0
they dont want employmentthey just want oppose modi for being unemployedthis again big employement ,0.0
they shud first join the parties and only then shud they supported dont want see them joining modi after polls they join congress least they cant defect after polls,-1.0
looks like these people want modi congress ,0.0
the congress wanted the release the movie deferred till the final phase voting the lok sabha polls argued that the movie released april aimed influencing voters ,0.0
modi not idiot like rahul,1.0
sir look how common man appealing passerby dont give anybody rupee but give narendra modi vote vote narendra modi save nation ,1.0
you asked for vote your circle and yet modi leading pity,-1.0
modi best all time,1.0
modi wave and now tinted into tsunam  ,0.0
from questioning the making “political” statements against the narendra modi government facebook whatsapp uttar pradesh’ yogi adityanath government suspended least seven government schoolteachers ,-1.0
modi inherited the most positive agricultural scenario india had seen long time from that relative high indian farming has been plunged new low writes ,1.0
aap modi critics nahi mujhe nahi pata mein chal raha hai khel ignore called neutral journos who think cong will benefit bjp and harm alliance they are far from reality ground siting delhi rooms bas may itzaar karo,1.0
"ashok swain verified account mar more
india has become the global leader hate crimes modi deserves nobel prize hatecall him traitor too",-1.0
enough your drama nothing can save modi you better get back journalism before too late,1.0
congress should apologize the country for not taking any bold decisions for not making our country strong for making manmohan singh silent for making indias economy weak modi for 201920242029,1.0
prakash looking rahul tweeter counterits seems like one ready buy yours and ani lies anymore the time ticking for modi and modi aids hope some authentic and logical person will the this time,1.0
sushma swaraj has sought report forcible conversion two teenage hindu girls pak goodwould have liked see similar action modi rajnath khattar ,1.0
why modi why  ,0.0
has proved again again with his actions that his intentions are honest comparing him with modi doesn’ make sense,1.0
arnab modi was not shy meeting you for interview please ask face you and interview him let see what says under congress democracy truth was ever revealed nehru sent subhash chandra bose russia prison and mamata banerjee says nothing ,1.0
"love modi but why should love any modi btw parody appreciated love narendra mogli
all parody love",1.0
modi best the world,1.0
due khouf modi pakistan shifting all terrorists the safe places the other hand congress leaders are joining bjp such after getting tickets raj babbar rashid alwi are not ready contest election from their declared seats khouf mujhe pasand hai,1.0
this statement ram taunting modi supporter,0.0
request request modi and declare openly this happens liberals will commit suicide,0.0
will bjp going nominate sevaks election observers get favourable reports favour constitution permits they may even post returning officer distrecent shifting of3 ips officers examplevoters watching modi acts,0.0
for and should not take the credits for modi should not take the credits for etc etc but responsible for ,1.0
thought really him,1.0
this the very reason why never shook hands with modi when invited discuss his plan opening womens development cell gujarat when was the back 2011 refused work for him back then seems still holding that grudge against ,1.0
watchvideo for your agendajoinus formgovtwel raise rs45laccr resourcesyr in3waysstart ubi rs5000pm for 21cr bplfarmersecobackwd familiesfill 40lac govtjobsgive rs20laccr reliefend modis taxterrorism all taxpayersgstregd msmesbusinesses98888 33249fwd20ppl ,0.0
dear that 2000 note more than many countries carries modi nano chip which not even traceable america,1.0
only narendra modiji vote kar narendra modi appeals everyone during tweetstorm via ,0.0
may not allow him divert attention from various acts ommission and commission modi regime,0.0
proud the scientist team our country accomplish the absolute achievement antibalastic missile technology and proud our narendra modifor trying make our advancement remarkable,1.0
sir please stop giving statements like this people will come and nation will remain just like this captain the party will come and modi the captain and definitely would have like people who are the same page with him,0.0
under the leadership modi his party has done much for the northeast region which was ignored earlier positive reforms policies avenues and more ,1.0
has killed every tool that can identify corruption still rafale leaked out crony capitalists charlatan gurus are being given easy access because they fund elections preach about modi ongc gspc would have been big scam had anybody else been power electoral bonds,1.0
rbi policy politics and global cues among top factors steering dstreet the week ahead ,1.0
modi has significantly helped trp news channels last years and helped them keep profitable,1.0
dynasty not ruling modi plz talk about modi dynastys mistake repeated modi then why need modi its better have dynasty shame guys ull behaving worst then kids who sit compare btwn each other than rather than think about the country,-1.0
balanced view issues stake the next elections modi will win but with lesser margin than last time despite the border skirmishes long term reforms may yield benefits future but rural voters and informal economy will likely against him ,1.0
lol  that diplomatic war winning rant modi has reduced you just laughing stock not less not more ,1.0
"said absolutely right will form planning commission leaned towards gandhi family but rahul baba this will remain only dream njoy leisure days
modi leaned service this nation return people this country are leaned towards him
",1.0
dont hate modi much dat start talking nonsense uneducated,-1.0
"
every scheme that congress launched helped fraudsters fill their pockets funds meant for
public welfare was misused modi dbt transfer and aadhar helped discard fraudsters
",0.0
"police reform ‘mumkin’ but the political executive has failed make happen
",-1.0
what nonsenseif nehruit scientific temperif modi fulfilling vanity one manonly few occasions indians get chance celebrate nationasat one such occasionand you are supposed historian ramachandra guha,-1.0
these guys are smart enough know that who will threat them coming future thats why they have been targeting modiji and now targets yogiji smriti along with modi now one more added there list but actually its good for him,1.0
"lakhs modi
released every choukidaar first list after that restbe ready",1.0
hahahaha even modi loses well still here all 300400 million  wont let anyone slack from now matter who ,-1.0
twitterati went into tizzy today for hour when modi tweeted that will addressing the nation shortly one the best tweet was modi kuch hint bunker taraf bhage atm taraf,1.0
think ’ extrapolated from modi’ 600 crore voters india  ,0.0
think this movement become only for twitter and other social media movement not actually real potrait,-1.0
ummah its best son prostitute bhangi dhimmi kafir are the nouns used for nonbelievers ,1.0
modi has nothing for election campaign but pakistan,0.0
the adr survey conducted 534 parliamentary constituencies about voter priorities modi government scores ‘below average’ rating for its performance ाेशबचा ,-1.0
exclusive interview prime minister modi taking jibe media said the problem with indian media when tomatoe price goes you house wife when tomatoe price goes down you farmer you havent learn balance some point time,-1.0
"modi now chaiwala
chowkidar
fakeer messiah
saint
salesman
scientist everything other than prime minister",-1.0
your sceptical mind fell for every jumla that came out modis mouth,0.0
not member bjp just modi supporter also sir don’ believe whatever said about people the face value ,0.0
bjp policy only divide and rule  bjp propoganda anyone criticises modi means that person criticising entire india and she antinational  both gujrati chowkidaars are master jhumlebaazi ,0.0
pakistan doesn’ want modi win bjp victory india’ upcoming election could spell more trouble for the relationship ,1.0
more than young people from all walks life join jammu poonch constituency they have great faith modi policies development upliftment infrastructure transparency request all vote for sri the upcoming election ,1.0
modi categorically said lagbhag 114512 hold ,0.0
which these proverbs from historical greats suits narendra modi the best ,1.0
see this modi giving more work but not salary bankers stupid leader ,-1.0
learnings from posts indias development far modi’ photo should never used showcase any awesome work done india because its the team behind which has done without any efforts modiji and without even letting him know,1.0
modi mission developing india best wishes your parents have selected your name while christening correctly senior citizen regards prem sagar velugu,1.0
chandrababu naidu opportunistic politician fearing for his career will finished modi comes again,0.0
fake never issued signed any such statement says filmmaker whose name appears signatory antimodi statement – opindia news via ,-1.0
modi says the opposition wanted bring out candle light march against balakot air strikes can debate the gas connections provided house built and bank accounts opened with the opposition when speak progress they change the,1.0
"modi before 2014 talking about jobs and unemployment india compared facts and statistics about jobs and unemployment india years after modi came power
",0.0
mitron you want parcel your stuff then contact are vaikin worldwide express will keep send your parcel safely its destination just like modi keeping our country ,1.0
pakistani will happy see modi win because kaam hum saal nahi kar sakey modi saal kar dia and what kind democracy that question your government you will called traitor imran khan has outclassed modi international media,1.0
lol create employment dont waste the tax payers money harr cheez jawab paisa fekna nahi hota youre the whole and sole reason why well have narendra modi the again all your fault,1.0
being indian truly believe that india should and must support our balooch brothers hope modi government will provide every possible support freedom struggle his next tenure ,0.0
modi was once internationally banned for being communal terrorist yeah one achievement,0.0
and imran khan inititally told they had captured indian pilots however india confirmed missing what happened second one which imran khan had mentioned sometimes over smartness has pay understand pakistan mental status,1.0
give readhow hug can tell story ,0.0
cant there peoples movement against the since the media and newspapers are all with modi,0.0
please dont toilets narendra modi made them famous via oppose all areas with same passion,1.0
yeah ppl divided sowe are fighting against uwe are with modi ,0.0
you agree with this you also agree modi coward and psychopath ,0.0
you are always crying modi destroyed the democracy but original culprit you,1.0
you will scrap every thing the hard work put modi five years and you are capable take india years back where coilation govt ruined this country your mother father mother failed miserably what you will you dumb ass,-1.0
ima need dad hurry and hook the boat girl ready fishing,1.0
bhakt god will punish you you make fun our normal human know bhakt you know really normal human yes made fun manmohan singh god punished and gave modi,1.0
hmm true but between showed some neutral character getting build nevertheless even president say awe modi his last address both houses did show that,1.0
asked smriti and rahul not modi why you bhakts cant think beyond modi,0.0
how powerful narendra modi political history india and how able modi extended his dynasty states one after another all these question one answer powerful worlds largest democracy ,1.0
yeh hai congress asali chahra securing future with modi vote and support modi again via mynt,0.0
every surgical strike rued both pakistan and fibbiescongies some strikes injure one but lead butthurt for the other balakot injured pakis but caused butthurt for the fibbies modis interview injured the fibbies but sure soon pakistan will soon start wailing,1.0
nor pro anti modi but kind needed keep one the ancient civilizations alive there media which unbiased the moment brother every media outlet propaganda machine move their own country agenda forward truth there global media,1.0
modi jis mum when she was pregnant with him \ \ \ \ \ chaiwala ,1.0
and told you that when you aligned yourself with modi who performed ethnic cleansing india that you and anyone your family not fit rule any country place thank you for finally showing your not even democrat much less humanitarian,-1.0
people who loot india wont spared keep following our live blog for more details ,1.0
vivek oberoi appears before election commission modi biopic ,0.0
hon’ble narendra modi going address bharatiya janata party bjp praja chaitanya sabha kurnool today there excitement among people kurnool karyakartas bjp andhra pradesh for the visit modi ,0.0
"account fame reasons real name joined march couple days back tweet other than condemning bjp modi rss
additional tweets technology said technical guy who setup business india language abuses german",1.0
"gave proof
although believe him ",0.0
mahagathbandhan thugs blaming chowkidar modi aravind kejriwal turned out most corrupt them all india knows who the corrupt are and will convey that message during elections,-1.0
"congress lies are seasonal
when there were elections delhi they came with the topic intolerance
when there were elections bihar their topic was modi will take back all forms reservations
then there was the concept award wapsi ",0.0
stooge shiv why your modi scared,0.0
sir please revarify the ticket ballia sir ketaki singh the winning candidate sir never meat ketaki singh only concern that want see only modi ,1.0
modi govt works hard empowering the state assam covering infrastructure manufacturing housing healthcare msme and all other sectors under led govt assam was given only 50000 crore now has increased lakh crore under the modi govt ,-1.0
bjp government conducting raids jds and congress leaders karnataka weeks before elections looks like bjp bad shape conducting these raids going benefit the alliance politically big time modi and shah are shaky,-1.0
the present contradiction our politics stems from the fact that have openly allowed “strong govt” flout the rule law which the foundation democracy need tell this govt rule law strength polity not govt ,1.0
opposition disheartened indias growth says narendra modi arunachal rally ⚡captain sparkle fingers ,0.0
nopslet modi his way eradicate reasons poor people india giving free will make poor ass lazy and set wrong precedent make working people who are working less cheated and demoralised ,-1.0
narendra modi begins his address the nation ,0.0
modi has taken everything his gujjuland maharashtra will become begging bowl but still you are proud him ,1.0
want both you know each other she also staunch modi supporter like you and nice person knowing her since days met her group during 2011 she like internet sister ,1.0
"interacting with ordinary citizens bangalore such vegetable vendors flower sellers taxi drivers ect amazing clarity that they will vote for modi for the best for india
never came across such love for one leader before
",1.0
responding modi’ voter appeal not helping much this case,1.0
she cant lose big either modi voted wave election others got vote there already ground build campaign and very daring step contest against modi your first election this will give very positive msg congress cadre,1.0
india was 1st large country upgraded since 200708 would have been very bad shape years come was not modi who won 2014 are growing fast rate like never and our future secure only gets reelected,-1.0
you cant even imagine boost that organization like drdo would get bcoz announcement made himselfthis news would have been buried sonia bootlicker like thanks modi every indian knows about this achievement ,1.0
unfortunately india the vindictive government will never let any serving armed forces chief utter word against them the same time the chiefs want smooth tenure ensure they get plum positions post retirement for supporting the modi government ,1.0
when sycophantic media houses portray unending modi wave daily basis please their real bosses here the ground reality farmer from rural haryana asking “who modi what modi what did other than troubling people” ,1.0
pseudo seculars hate modi for that reason ended the haj subsidy the central govt and started scheme exclusive funds for muslim girls education acts like these send shockwaves among nehruvian elite ,-1.0
modi mumkin great achievement,1.0
dear prasad sir you will win  with record marginthis time not only your modi jis bjps election all 125 crs take personally clear mahathugbandhan from the central this enough modi jis insult our insulthe our and our family jai hind,1.0
when before 2014 every thing was all right and all problems have come during modi govtonlythen why congress has answer for their efforts poverty removal one thing sure that this congress not the same which fought for independence,1.0
why modi mute unemploymentcommunal riots why mute ,0.0
hello not with modi dont give damn about bjp and dont consider bjp party here,0.0
the star campaigner myth bjp lost more than assembly constituencies where narendra modi campaigned during recent 5state polls ,1.0
the act drdo displaying the world indias asat capabilities with the required support provided modi govt destruction its professional integrity rather more btw why called intellectuals keep harming india your envy 1peeson modi,1.0
doesnt exist for stalwart modijust research had replied you any instance nevercoz you doesnt exist for himfrog well ,0.0
modi will defeated 100 for sure ,1.0
gone are the days experts say when individual mps charisma matters now the game with the supremos ,-1.0
this man working under dfm kir office and continuesly writing against modi gov please take action against him ,1.0
you can lie allbut not lord puri lord jagannath shows the truth modis ujjwala gas cylinders guise bjp candidate itselfthe truth bulletin shri chowkidar no10 ,0.0
the absence hard data reasoning behind such promises the credibility the individual the party making these claims matters rahul conparty have none modi does ,-1.0
india and its digital growth between 2014 and 2018 the number internet subscribers has more than tripled over 560 million from 177 million moreover 2016 triggered new wave digital money firms ,1.0
lol this best you have btw did you ever ask shri narendra modi how much tax money and you pay has used advertisements ,1.0
big blow modi haters,0.0
dear sherry you are son soil your feelings and big heart shows your face humility the only thing that keeps humanity alive keep the good talk and keep moving ahead people who oppose you are small character modi must feel heat and show him true leadership,1.0
india todays antifake news war room has found that the viral claim misleading such list has ever been released the far ,1.0
level modi hater,0.0
rahul gandhi said that unlike the bjp the congress keeps its promises ,0.0
they simply get around the fact that beat them fair and square realilty 100 odd soldiers and much more damage whats undeniable irrefutable evidence the world had seen stunt backfired badly ,1.0
karan bhai dont know much about economics but sure this rahul gandhi propaganda going help modi and bengal vote shares congress will increase which going cut votes bsp and tmc bengal,1.0
surreal realism and convincing mannerisms ,1.0
all know the congress and its spokes persons are lie masters very sad note that economic times which has joined the anti modi brigade gives importance the dynasty party and thir statements has become bother hindu paper,-1.0
modi chokidar the nation and everybody well known his face then why does modi required for promotion why does always prachar,0.0
they dont know difference between asat and theatre set says modi lists govt achievements ⁦ ,0.0
with every single passing day assam touching new heights development and prosperity this couldnt have been possible without the faith the people they put the leadership modi ,1.0
nyay nice yawn yojana hatred for modi will not work keep calm and vote for modi ,1.0
"this 300 things purely bjp creation
but iaf has said there were casualties would have been better and matured kcr and cbn criticised modi for politicising army for using abhinandan photo but reiterating paks claim wrong way sending message",1.0
prof sir there time tide for every thing the crescendo has just begun will executed second tenure modi ,0.0
"shame you you talk like journalist who has loose motions
you cant digest achievement you develop piles too
modi hailed the scientists are you blind and deaf too",-1.0
tell you your slogan means hatao gareebi bachao which will failed for you all and all indian people are seeing what you did for our nation guys vote only ,-1.0
for modi right ,1.0
dear maani have any prob for that actor please next time you never support series modi,0.0
but remember this parody niiirav modi the wanted list parody interpol cheers,0.0
while was criticizing modis work with bhakt she said modi cute mean what the,1.0
wonder why was there political academic media hairsplitting over lakh crores offer each bank account modi 2014 versus much discussion the nyay scheme moment money transferred the poor the rich the right and the capitalists gang ,1.0
interacts with scientists involved with mission shakti via videoconference drdo nehru antisatellite narendra modi ,0.0
know the only time you had will the time when modi handpicked you for the south,0.0
just rubbish are you citizen india you are becoming anti indian nobody respect you modi your anti lobby not india india for all not only for modi shame your congress party you are only lover chair not for poverty nothing,1.0
you are the correct path least one the waste leader bjp now moved dustbin jai modi ,-1.0
